id;iddata;kdpumprov;kdpbps;wadmng;wadmpr;tahun;turtahun;nilai;turvar;vervar;updated_at
50;0054000002;36;36;Indonesia;BANTEN;2022;Agustus; 8.09 ;;;2023-10-25 14:00:07.080783
51;0054000002;51;51;Indonesia;BALI;2022;Agustus; 4.80 ;;;2023-10-25 14:00:07.080783
52;0054000002;52;52;Indonesia;NUSA TENGGARA BARAT;2022;Agustus; 2.89 ;;;2023-10-25 14:00:07.080783
53;0054000002;53;53;Indonesia;NUSA TENGGARA TIMUR;2022;Agustus; 3.54 ;;;2023-10-25 14:00:07.080783
54;0054000002;61;61;Indonesia;KALIMANTAN BARAT;2022;Agustus; 5.11 ;;;2023-10-25 14:00:07.080783
55;0054000002;62;62;Indonesia;KALIMANTAN TENGAH;2022;Agustus; 4.26 ;;;2023-10-25 14:00:07.080783
56;0054000002;63;63;Indonesia;KALIMANTAN SELATAN;2022;Agustus; 4.74 ;;;2023-10-25 14:00:07.080783
57;0054000002;64;64;Indonesia;KALIMANTAN TIMUR;2022;Agustus; 5.71 ;;;2023-10-25 14:00:07.080783
58;0054000002;65;65;Indonesia;KALIMANTAN UTARA;2022;Agustus; 4.33 ;;;2023-10-25 14:00:07.080783
59;0054000002;71;71;Indonesia;SULAWESI UTARA;2022;Agustus; 6.61 ;;;2023-10-25 14:00:07.080783
60;0054000002;72;72;Indonesia;SULAWESI TENGAH;2022;Agustus; 3.00 ;;;2023-10-25 14:00:07.080783
61;0054000002;73;73;Indonesia;SULAWESI SELATAN;2022;Agustus; 4.51 ;;;2023-10-25 14:00:07.080783
62;0054000002;74;74;Indonesia;SULAWESI TENGGARA;2022;Agustus; 3.36 ;;;2023-10-25 14:00:07.080783
63;0054000002;75;75;Indonesia;GORONTALO;2022;Agustus; 2.58 ;;;2023-10-25 14:00:07.080783
64;0054000002;76;76;Indonesia;SULAWESI BARAT;2022;Agustus; 2.34 ;;;2023-10-25 14:00:07.080783
65;0054000002;81;81;Indonesia;MALUKU;2022;Agustus; 6.88 ;;;2023-10-25 14:00:07.080783
66;0054000002;82;82;Indonesia;MALUKU UTARA;2022;Agustus; 3.98 ;;;2023-10-25 14:00:07.080783
67;0054000002;92;91;Indonesia;PAPUA BARAT;2022;Agustus; 5.37 ;;;2023-10-25 14:00:07.080783
68;0054000002;91;94;Indonesia;PAPUA;2022;Agustus; 2.83 ;;;2023-10-25 14:00:07.080783
8412;0054000181;11;11;Indonesia;ACEH;2021;;0.716409453001734;;;2023-10-25 14:00:07.080783
8413;0054000181;12;12;Indonesia;SUMATERA UTARA;2021;;0.774177578604332;;;2023-10-25 14:00:07.080783
8414;0054000181;13;13;Indonesia;SUMATERA BARAT;2021;;0.76431377317049;;;2023-10-25 14:00:07.080783
8415;0054000181;14;14;Indonesia;RIAU;2021;;0.742520455283047;;;2023-10-25 14:00:07.080783
8416;0054000181;15;15;Indonesia;JAMBI;2021;;0.724410933143075;;;2023-10-25 14:00:07.080783
8417;0054000181;16;16;Indonesia;SUMATERA SELATAN;2021;;0.695923731691169;;;2023-10-25 14:00:07.080783
8418;0054000181;17;17;Indonesia;BENGKULU;2021;;0.687686368891783;;;2023-10-25 14:00:07.080783
8419;0054000181;18;18;Indonesia;LAMPUNG;2021;;0.688450701593388;;;2023-10-25 14:00:07.080783
8420;0054000181;19;19;Indonesia;KEP. BANGKA BELITUNG;2021;;0.827206459162458;;;2023-10-25 14:00:07.080783
8421;0054000181;21;21;Indonesia;KEP. RIAU;2021;;0.658571293103639;;;2023-10-25 14:00:07.080783
8422;0054000181;31;31;Indonesia;DKI JAKARTA;2021;;0;;;2023-10-25 14:00:07.080783
8423;0054000181;32;32;Indonesia;JAWA BARAT;2021;;0.636352466165287;;;2023-10-25 14:00:07.080783
8424;0054000181;33;33;Indonesia;JAWA TENGAH;2021;;0.761228858298722;;;2023-10-25 14:00:07.080783
8425;0054000181;34;34;Indonesia;DI YOGYAKARTA;2021;;0.623494699408451;;;2023-10-25 14:00:07.080783
8426;0054000181;35;35;Indonesia;JAWA TIMUR;2021;;0.713030641652076;;;2023-10-25 14:00:07.080783
8427;0054000181;36;36;Indonesia;BANTEN;2021;;0.664372041039721;;;2023-10-25 14:00:07.080783
8428;0054000181;51;51;Indonesia;BALI;2021;;0.64848486601348;;;2023-10-25 14:00:07.080783
8429;0054000181;52;52;Indonesia;NUSA TENGGARA BARAT;2021;;0.767894381870753;;;2023-10-25 14:00:07.080783
8430;0054000181;53;53;Indonesia;NUSA TENGGARA TIMUR;2021;;0.640950005578492;;;2023-10-25 14:00:07.080783
8431;0054000181;61;61;Indonesia;KALIMANTAN BARAT;2021;;0.65534357147751;;;2023-10-25 14:00:07.080783
8432;0054000181;62;62;Indonesia;KALIMANTAN TENGAH;2021;;0.851901874727384;;;2023-10-25 14:00:07.080783
8433;0054000181;63;63;Indonesia;KALIMANTAN SELATAN;2021;;0.727729186507584;;;2023-10-25 14:00:07.080783
8434;0054000181;64;64;Indonesia;KALIMANTAN TIMUR;2021;;0.778782407104791;;;2023-10-25 14:00:07.080783
8435;0054000181;65;65;Indonesia;KALIMANTAN UTARA;2021;;0.821415334221654;;;2023-10-25 14:00:07.080783
8436;0054000181;71;71;Indonesia;SULAWESI UTARA;2021;;0.829336420100777;;;2023-10-25 14:00:07.080783
8437;0054000181;72;72;Indonesia;SULAWESI TENGAH;2021;;0.736737216764109;;;2023-10-25 14:00:07.080783
8438;0054000181;73;73;Indonesia;SULAWESI SELATAN;2021;;0.687043713655255;;;2023-10-25 14:00:07.080783
8439;0054000181;74;74;Indonesia;SULAWESI TENGGARA;2021;;0.677515157142059;;;2023-10-25 14:00:07.080783
8440;0054000181;75;75;Indonesia;GORONTALO;2021;;0.643662622837661;;;2023-10-25 14:00:07.080783
8441;0054000181;76;76;Indonesia;SULAWESI BARAT;2021;;0.637173151141077;;;2023-10-25 14:00:07.080783
8442;0054000181;81;81;Indonesia;MALUKU;2021;;0.705529678699885;;;2023-10-25 14:00:07.080783
8443;0054000181;82;82;Indonesia;MALUKU UTARA;2021;;0.717568778328633;;;2023-10-25 14:00:07.080783
8444;0054000181;92;91;Indonesia;PAPUA BARAT;2021;;0.820466498673103;;;2023-10-25 14:00:07.080783
8445;0054000181;91;94;Indonesia;PAPUA;2021;;0.595092353271133;;;2023-10-25 14:00:07.080783
8446;0054000181;9999;9999;Indonesia;INDONESIA;2021;;0.673833196670222;;;2023-10-25 14:00:07.080783
